id	delRNA*_in_Cyt	delRNA*_in_RG	delRNA*_difference
Fancm	-0.330233425	0.920983153	1.251216578
Zgrf1	0.048858916	1.297204471	1.248345555
Scoc	-0.75036106	0.497285851	1.247646911
Pkd2	-0.892453173	0.355051322	1.247504495
Tbc1d20	-0.301553023	0.945816722	1.247369745
Dnajc13	-1.017938172	0.227730769	1.245668941
Spty2d1	-0.025327825	1.219582448	1.244910273
Fam120a	-0.975382251	0.267597595	1.242979846
Cbfb	-0.675225438	0.567074193	1.242299631
Gm10658	-0.730461947	0.511274474	1.241736421
Twistnb	-0.025016165	1.21524417	1.240260335
Btaf1	-0.29323773	0.946822044	1.240059774
Psd3	-0.409103194	0.829223058	1.238326252
Mier1	-0.258936782	0.979193239	1.238130021
Mgea5	-0.892850516	0.344507265	1.237357781
Ptpn4	-0.321901468	0.913763568	1.235665036
Zc3h11a	-0.726661234	0.507648633	1.234309867
Atp2b1	-0.603053943	0.630609764	1.233663707
Zbtb43	0.32675177	1.559553243	1.232801473
Prkd3	-0.692773906	0.53846371	1.231237616
Usp9x	-1.016514624	0.213357602	1.229872226
Zfp12	0.452403834	1.681078658	1.228674824
Ppfia1	-0.663009355	0.565423525	1.22843288
Gabpb2	-0.425236996	0.803134942	1.228371938
Bag4	-0.434006629	0.793742407	1.227749036
Dennd4a	-0.58823442	0.639252048	1.227486468
Zfp697	0.254063346	1.478635401	1.224572055
Mier3	-0.129468427	1.093482401	1.222950828
G2e3	-0.465831796	0.753457082	1.219288878
Bnc1	-0.416416017	0.799690038	1.216106055
Crebbp	-0.840183282	0.374275055	1.214458337
Pard6g	-0.291395595	0.920968096	1.212363691
Tug1	-0.371204648	0.838862626	1.210067274
Ccnt1	-0.223357817	0.98624667	1.209604487
Clasp2	-0.806273493	0.403149588	1.209423081
Nipa2	-0.339013251	0.869579415	1.208592666
Ubr3	-0.893035948	0.315410763	1.208446711
Suz12	-0.409708005	0.798732196	1.208440201
Zfp629	0.107972083	1.31411885	1.206146767
Nxt2	-0.544176891	0.660762688	1.204939579
Zranb1	-0.174224418	1.029673872	1.20389829
Adnp2	0.150242955	1.354042332	1.203799377
Fam208b	-0.657688274	0.544647056	1.20233533
Stim2	-0.822599995	0.377203764	1.199803759
Usp24	-0.572918975	0.62686481	1.199783785
Snrk	-0.542485907	0.656584062	1.199069969
Zfp770	0.021027893	1.217847031	1.196819138
Brca1	-0.496034435	0.699849418	1.195883853
Zfp146	-0.498817427	0.696827825	1.195645252
Ugcg	-0.663322544	0.531908151	1.195230695
Gm10371	-0.515753384	0.679230477	1.194983861
Tubgcp5	-0.202596039	0.991410769	1.194006808
Mdm2	-0.06402505	1.128184294	1.192209344
Nedd1	-0.575163919	0.61638035	1.191544269
Bmf	-0.21679063	0.9742223	1.19101293
Foxk2	-0.242730118	0.948107835	1.190837953
Abhd13	-0.130233922	1.060107896	1.190341818
Fam178a	0.155124269	1.344506594	1.189382325
Thap2	0.073678048	1.262400146	1.188722098
Ap4e1	-0.310135614	0.877642352	1.187777966
Golph3	-0.28346442	0.902025029	1.185489449
Baz1a	-0.561288621	0.623832164	1.185120785
Rprd1a	-0.4790887	0.705749704	1.184838404
Csnk1g3	-0.471847116	0.712114238	1.183961354
Sav1	-0.596300664	0.586170663	1.182471327
Cep350	-0.689999966	0.49166332	1.181663286
Ppp1r15b	-0.017178505	1.164250441	1.181428946
Zcchc14	-0.8700063	0.311275808	1.181282108
Taok1	-0.381505825	0.799752724	1.181258549
Ncoa2	-0.682032462	0.498572598	1.18060506
Ccdc14	0.054798245	1.235217987	1.180419742
Bmp2k	-0.667631809	0.507778626	1.175410435
Vps13d	-0.741299637	0.433917824	1.175217461
Mecp2	-0.170091263	1.002705143	1.172796406
Sp3	-0.139531528	1.032830197	1.172361725
Ash1l	-0.533178717	0.638726339	1.171905056
Suv39h2	-0.197345313	0.974345161	1.171690474
Zmym5	-0.441870305	0.727939327	1.169809632
Birc3	0.218512424	1.387409491	1.168897067
Cntrl	-0.637888821	0.530133395	1.168022216
Asb7	0.084998189	1.252307092	1.167308903
Ccdc88a	-0.607457307	0.55949194	1.166949247
Phf20	-0.611763587	0.555020895	1.166784482
Wisp1	0.278317066	1.4447928	1.166475734
Ankrd50	-0.646331815	0.515588385	1.1619202
Ccdc126	-0.275230951	0.886102292	1.161333243
Ptpn9	-0.610253013	0.54994568	1.160198693
Gli3	-0.93772297	0.2223497	1.16007267
Il1rap	-0.837511524	0.322222961	1.159734485
Mdfic	-0.345671974	0.81180366	1.157475634
Golim4	-0.978466874	0.177928202	1.156395076
8030462N17Rik	0.045778255	1.202038125	1.15625987
Nsd1	-0.402899558	0.753036814	1.155936372
Lnp	-0.459086287	0.696832746	1.155919033
Wdfy3	-0.926093497	0.228529366	1.154622863
Sos2	-0.472482144	0.680370587	1.152852731
