Protocol	Fraction	Density	Treatment	Replica	fraction_volume	ng_raw	final_volume	Vol_correct	Dil_factor	Dil_Correct	Rel_total
dLoRNA	12	1.141995141	DMSO	4	474.7785515	4.742	150	711.3	1.552687555	1104.426658	0.03979432
dLoRNA	13	1.159626988	DMSO	4	422.3465939	4.717	200	943.4	1.533872593	1447.055404	0.052139801
dLoRNA	14	1.173340647	DMSO	4	347.5642181	4.157	300	1247.1	1.359987798	1696.040782	0.061111156
dLoRNA	15	1.202727059	DMSO	4	363.4682222	5.013	300	1503.9	1.641175508	2468.163847	0.088932028
dLoRNA	16	1.218399812	DMSO	4	363.7565723	4.636	200	927.2	1.759347083	1631.266615	0.058777236
dLoRNA	17	1.251704412	DMSO	4	392.1811966	4.935	200	987	2.164580011	2136.440471	0.076979486
dLoRNA	18	1.279131729	DMSO	4	434.430804	3.171	200	634.2	2.642028096	1675.574219	0.060373712
dLoRNA	19	1.314710446	DMSO	4	466.8227209	3.87	200	774	3.179499181	2460.932366	0.088671466
dLoRNA	20	1.355027035	DMSO	4	520.9344598	4.574	200	914.8	3.978589446	3639.613625	0.131141303
dLoRNA	21	1.400393386	DMSO	4	556.7215148	4.589	200	917.8	4.769656353	4377.590601	0.157731834
dLoRNA	1	1.011911292	TG	4	1000	6.704	30	201.12	1	201.12	0.00832115
dLoRNA	2	1.030326777	TG	4	500	7.229	30	216.87	1	216.87	0.008972791
dLoRNA	3	1.042081342	TG	4	500	7.586	30	227.58	1	227.58	0.009415907
dLoRNA	4	1.053835906	TG	4	500	7.433	30	222.99	1	222.99	0.009226
dLoRNA	5	1.065590471	TG	4	500	8.898	30	266.94	1	266.94	0.01104439
dLoRNA	6	1.077345036	TG	4	500	6.865	30	205.95	1	205.95	0.008520987
dLoRNA	7	1.087924144	TG	4	462.5546242	6.242	75	468.15	1	468.15	0.019369264
dLoRNA	8	1.096935977	TG	4	426.140156	4.873	200	974.6	1	974.6	0.040323154
dLoRNA	9	1.104772353	TG	4	398.8372533	4.808	200	961.6	1	961.6	0.039785291
dLoRNA	10	1.116526918	TG	4	391.8676235	4.234	200	846.8	1.076951062	911.9621592	0.037731572
dLoRNA	11	1.132199671	TG	4	408.7819945	4.69	150	703.5	1.2547716	882.7318206	0.036522194
dLoRNA	12	1.143954236	TG	4	468.0690639	4.541	150	681.15	1.5495432	1055.471351	0.043669129
dLoRNA	13	1.159626988	TG	4	471.3465939	4.32	200	864	1.711830124	1479.021227	0.061193105
dLoRNA	14	1.177258836	TG	4	369.4237089	4.301	300	1290.3	1.475194623	1903.443622	0.07875318
dLoRNA	15	1.198808871	TG	4	340.479184	3.758	300	1127.4	1.510024908	1702.402081	0.070435277
dLoRNA	16	1.220358906	TG	4	352.0539119	3.981	300	1194.3	1.716884641	2050.475327	0.084836478
dLoRNA	17	1.241908941	TG	4	357.0217604	3.962	200	792.4	1.898832133	1504.634582	0.062252833
dLoRNA	18	1.273254447	TG	4	372.7541718	4.056	200	811.2	2.222026241	1802.507687	0.074577051
dLoRNA	19	1.296763577	TG	4	490.206447	3.416	200	683.2	3.158415494	2157.829465	0.089278154
dLoRNA	20	1.332450435	TG	4	509.3806395	3.281	200	656.2	3.654601108	2398.149247	0.099221158
dLoRNA	21	1.370127733	TG	4	545.8341694	3.958	150	593.7	4.337726169	2575.308026	0.106550935
sLoRNA	1	Na	DMSO	1	Na	1.587	300	476.1	1	476.1	0.173404089
sLoRNA	2	Na	DMSO	1	Na	2.055	200	411	1	411	0.149693511
sLoRNA	3	Na	DMSO	1	Na	1.852	100	185.2	1	185.2	0.067453134
sLoRNA	4	Na	DMSO	1	Na	2.070	50	103.5	1	103.5	0.037696541
sLoRNA	5	Na	DMSO	1	Na	1.474	300	442.2	3.55	1569.81	0.571752725
sLoRNA	1	Na	TG	1	Na	2.124	100	212.4	1	212.4	0.082373473
sLoRNA	2	Na	TG	1	Na	2.049	200	409.8	1	409.8	0.15892961
sLoRNA	3	Na	TG	1	Na	2.104	100	210.4	1	210.4	0.081597828
sLoRNA	4	Na	TG	1	Na	2.137	50	106.85	1	106.85	0.041438821
sLoRNA	5	Na	TG	1	Na	1.561	300	468.3	3.5	1639.05	0.635660268
sLoRNA	1	Na	DMSO	2	Na	2.174	100	217.4	1	217.4	0.078730234
sLoRNA	2	Na	DMSO	2	Na	1.720	200	344	1	344	0.124577739
sLoRNA	3	Na	DMSO	2	Na	1.428	200	285.6	1	285.6	0.103428495
sLoRNA	4	Na	DMSO	2	Na	1.846	100	184.6	1	184.6	0.066851892
sLoRNA	5	Na	DMSO	2	Na	1.386	400	554.4	3.12	1729.728	0.62641164
sLoRNA	1	Na	TG	2	Na	1.880	300	564	1	564	0.168769099
sLoRNA	2	Na	TG	2	Na	2.271	300	681.3	1	681.3	0.20386948
sLoRNA	3	Na	TG	2	Na	1.655	150	82.75	1	82.75	0.024761778
sLoRNA	4	Na	TG	2	Na	2.481	50	124.05	1	124.05	0.037120225
sLoRNA	5	Na	TG	2	Na	1.423	400	569.2	3.32	1889.744	0.565479418
sLoRNA	1	Na	DMSO	3	Na	1.436	200	287.2	1	287.2	0.13298796
sLoRNA	2	Na	DMSO	3	Na	2.215	100	221.5	1	221.5	0.102565575
sLoRNA	3	Na	DMSO	3	Na	2.285	50	114.25	1	114.25	0.052903462
sLoRNA	4	Na	DMSO	3	Na	2.290	50	114.5	1	114.5	0.053019225
sLoRNA	5	Na	DMSO	3	Na	0.9876	300	296.28	4.8	1422.144	0.658523778
sLoRNA	1	Na	TG	3	Na	1.21	200	242	1	242	0.105175778
sLoRNA	2	Na	TG	3	Na	2.332	100	233.2	1	233.2	0.101351205
sLoRNA	3	Na	TG	3	Na	2.109	50	105.45	1	105.45	0.045829693
sLoRNA	4	Na	TG	3	Na	1.524	50	76.2	1	76.2	0.033117332
sLoRNA	5	Na	TG	3	Na	1.166	300	349.8	4.7	1644.06	0.714525992
sLoRNA	1	Na	DMSO	4	Na	1.962	200	392.4	1	392.4	0.148946952
sLoRNA	2	Na	DMSO	4	Na	2.440	100	244	1	244	0.092617371
sLoRNA	3	Na	DMSO	4	Na	2.067	100	206.7	1	206.7	0.07845906
sLoRNA	4	Na	DMSO	4	Na	3.157	50	157.85	1	157.85	0.059916606
sLoRNA	5	Na	DMSO	4	Na	1.171	300	351.3	4.65	1633.545	0.620060012
sLoRNA	1	Na	TG	4	Na	1.837	300	551.1	1	551.1	0.210365993
sLoRNA	2	Na	TG	4	Na	1.213	200	242.6	1	242.6	0.092605317
sLoRNA	3	Na	TG	4	Na	1.581	200	316.2	1	316.2	0.120699922
sLoRNA	4	Na	TG	4	Na	1.316	50	65.8	1	65.8	0.025117188
sLoRNA	5	Na	TG	4	Na	1.174	300	352.2	4.1	1444.02	0.55121158
