treatment	replicate	merge_fraction	fraction	per_fraction_ng	proportion_initial_fraction	used_ng	proportion_extracted_fraction	volume_ul
TG	3	3	10	169444.3533	0.339371781299878	57504.6320106269	0.362348027715888	36.2348027715888
TG	3	3	11	232201.7016	0.339371781299878	78802.7050928548	0.456034172915642	45.6034172915642
TG	3	3	12	246610.5537	0.339371781299878	83692.6628965183	0.448994972636828	44.8994972636828
TG	3	4	13	465853.675	0.201304780690006	93778.5718795085	0.275657177724971	41.3485766587457
TG	3	4	14	627016.5452	0.201304780690006	126221.428120491	0.290431265719651	58.0862531439303
TG	3	5	15	634181.0651	0.346904081668395	220000	0.575013068613928	115.002613722786
TG	3	6	16	942011.0722	0.233542902511969	220000	0.445705024230181	89.1410048460362
TG	3	7	17	1377450.636	0.159715342423349	220000	0.489106269562171	97.8212539124342
TG	3	8	18	1228140.293	0.0612123964954315	75177.4105671314	0.197731221844274	39.5462443688548
TG	3	8	19	740922.0117	0.0612123964954315	45353.6119523731	0.199971834039503	29.9957751059255
TG	3	8	20	657413.3398	0.0612123964954315	40241.8460172234	0.228257776642909	22.8257776642909
TG	3	8	21	967567.5983	0.0612123964954315	59227.131463272	0.269888956334401	40.4833434501602
TG	4	1	1	201120	0.12157382847038	24450.9283819629	0.12157382847038	3.64721485411141
TG	4	1	2	216870	0.12157382847038	26365.7161803714	0.12157382847038	3.64721485411141
TG	4	1	3	227580	0.12157382847038	27667.7718832891	0.12157382847038	3.64721485411141
TG	4	1	4	222990	0.12157382847038	27109.7480106101	0.12157382847038	3.64721485411141
TG	4	1	5	266940	0.12157382847038	32452.9177718833	0.12157382847038	3.64721485411141
TG	4	1	6	205950	0.12157382847038	25038.1299734748	0.12157382847038	3.64721485411141
TG	4	1	7	468150	0.12157382847038	56914.7877984085	0.12157382847038	9.11803713527851
TG	4	2	8	974600	0.113624625555211	110738.560066109	0.113624625555211	22.7249251110422
TG	4	2	9	961600	0.113624625555211	109261.439933891	0.113624625555211	22.7249251110422
TG	4	3	10	911962.1592	0.0508178608296796	46343.9660881597	0.0547283491890916	10.9456698378183
TG	4	3	11	882731.8206	0.0508178608296796	44858.5428091805	0.0637648085418344	9.56472128127516
TG	4	3	12	1055471.351	0.0508178608296796	53636.7962248319	0.0787444706871764	11.8116706030765
TG	4	3	13	1479021.227	0.0508178608296796	75160.6948778279	0.0869915450054851	17.398309001097
TG	4	4	14	1903443.622	0.115579992733822	220000	0.170502983807313	51.150895142194
TG	4	5	15	1702402.081	0.129229165339583	220000	0.195139258502821	58.5417775508464
TG	4	6	16	2050475.327	0.107292195669517	220000	0.18420832284416	55.2624968532479
TG	4	7	17	1504634.582	0.146214903360502	220000	0.277637556824412	55.5275113648823
TG	4	8	18	1802507.687	0.0246255946280071	44387.8236139287	0.0547187174636605	10.9437434927321
TG	4	8	19	2157829.465	0.0246255946280071	53137.8336814595	0.0777778596220609	15.5555719244122
TG	4	8	20	2398149.247	0.0246255946280071	59055.8512140825	0.0899967254126737	17.9993450825347
TG	4	8	21	2575308.026	0.0246255946280071	63418.4914905292	0.106819086245092	16.0228629367638
